fecha,hora,consumo,met_obtencion,datetime
2022-04-07,1,0.021,Real,2022-04-07 01:00:00
2022-04-07,2,0.02,Real,2022-04-07 02:00:00
2022-04-07,3,0.021,Real,2022-04-07 03:00:00
2022-04-07,4,0.024,Real,2022-04-07 04:00:00
2022-04-07,5,0.027,Real,2022-04-07 05:00:00
2022-04-07,6,0.025,Real,2022-04-07 06:00:00
2022-04-07,7,0.021,Real,2022-04-07 07:00:00
2022-04-07,8,0.02,Real,2022-04-07 08:00:00
2022-04-07,9,0.034,Real,2022-04-07 09:00:00
2022-04-07,10,0.38,Real,2022-04-07 10:00:00
2022-04-07,11,0.577,Real,2022-04-07 11:00:00
2022-04-07,12,0.374,Real,2022-04-07 12:00:00
2022-04-07,13,0.409,Real,2022-04-07 13:00:00
2022-04-07,14,0.244,Real,2022-04-07 14:00:00
2022-04-07,15,0.021,Real,2022-04-07 15:00:00
2022-04-07,16,0.61,Real,2022-04-07 16:00:00
2022-04-07,17,0.633,Real,2022-04-07 17:00:00
2022-04-07,18,0.539,Real,2022-04-07 18:00:00
2022-04-07,19,0.353,Real,2022-04-07 19:00:00
2022-04-07,20,0.317,Real,2022-04-07 20:00:00
2022-04-07,21,0.233,Real,2022-04-07 21:00:00
2022-04-07,22,0.023,Real,2022-04-07 22:00:00
2022-04-07,23,0.022,Real,2022-04-07 23:00:00
2022-04-07,24,0.022,Real,2022-04-08 00:00:00
2022-04-08,1,0.022,Real,2022-04-08 01:00:00
2022-04-08,2,0.026,Real,2022-04-08 02:00:00
2022-04-08,3,0.026,Real,2022-04-08 03:00:00
2022-04-08,4,0.024,Real,2022-04-08 04:00:00
2022-04-08,5,0.02,Real,2022-04-08 05:00:00
2022-04-08,6,0.021,Real,2022-04-08 06:00:00
2022-04-08,7,0.02,Real,2022-04-08 07:00:00
2022-04-08,8,0.022,Real,2022-04-08 08:00:00
2022-04-08,9,0.028,Real,2022-04-08 09:00:00
2022-04-08,10,0.292,Real,2022-04-08 10:00:00
2022-04-08,11,0.405,Real,2022-04-08 11:00:00
2022-04-08,12,0.607,Real,2022-04-08 12:00:00
2022-04-08,13,0.766,Real,2022-04-08 13:00:00
2022-04-08,14,0.715,Real,2022-04-08 14:00:00
2022-04-08,15,0.153,Real,2022-04-08 15:00:00
2022-04-08,16,0.026,Real,2022-04-08 16:00:00
2022-04-08,17,0.128,Real,2022-04-08 17:00:00
2022-04-08,18,0.38,Real,2022-04-08 18:00:00
2022-04-08,19,0.395,Real,2022-04-08 19:00:00
2022-04-08,20,0.385,Real,2022-04-08 20:00:00
2022-04-08,21,0.62,Real,2022-04-08 21:00:00
2022-04-08,22,0.27,Real,2022-04-08 22:00:00
2022-04-08,23,0.026,Real,2022-04-08 23:00:00
2022-04-08,24,0.023,Real,2022-04-09 00:00:00
2022-04-09,1,0.065,Real,2022-04-09 01:00:00
2022-04-09,2,0.026,Real,2022-04-09 02:00:00
2022-04-09,3,0.021,Real,2022-04-09 03:00:00
2022-04-09,4,0.025,Real,2022-04-09 04:00:00
2022-04-09,5,0.029,Real,2022-04-09 05:00:00
2022-04-09,6,0.027,Real,2022-04-09 06:00:00
2022-04-09,7,0.022,Real,2022-04-09 07:00:00
2022-04-09,8,0.027,Real,2022-04-09 08:00:00
2022-04-09,9,0.043,Real,2022-04-09 09:00:00
2022-04-09,10,0.162,Real,2022-04-09 10:00:00
2022-04-09,11,0.274,Real,2022-04-09 11:00:00
2022-04-09,12,0.338,Real,2022-04-09 12:00:00
2022-04-09,13,0.607,Real,2022-04-09 13:00:00
2022-04-09,14,0.042,Real,2022-04-09 14:00:00
2022-04-09,15,0.886,Real,2022-04-09 15:00:00
2022-04-09,16,0.376,Real,2022-04-09 16:00:00
2022-04-09,17,0.506,Real,2022-04-09 17:00:00
2022-04-09,18,0.111,Real,2022-04-09 18:00:00
2022-04-09,19,0.126,Real,2022-04-09 19:00:00
2022-04-09,20,0.209,Real,2022-04-09 20:00:00
2022-04-09,21,0.063,Real,2022-04-09 21:00:00
2022-04-09,22,0.058,Real,2022-04-09 22:00:00
2022-04-09,23,0.129,Real,2022-04-09 23:00:00
2022-04-09,24,0.143,Real,2022-04-10 00:00:00
2022-04-10,1,0.146,Real,2022-04-10 01:00:00
2022-04-10,2,0.124,Real,2022-04-10 02:00:00
2022-04-10,3,0.113,Real,2022-04-10 03:00:00
2022-04-10,4,0.106,Real,2022-04-10 04:00:00
2022-04-10,5,0.106,Real,2022-04-10 05:00:00
2022-04-10,6,0.105,Real,2022-04-10 06:00:00
2022-04-10,7,0.101,Real,2022-04-10 07:00:00
2022-04-10,8,0.1,Real,2022-04-10 08:00:00
2022-04-10,9,0.113,Real,2022-04-10 09:00:00
2022-04-10,10,0.815,Real,2022-04-10 10:00:00
2022-04-10,11,0.813,Real,2022-04-10 11:00:00
2022-04-10,12,0.322,Real,2022-04-10 12:00:00
2022-04-10,13,0.302,Real,2022-04-10 13:00:00
2022-04-10,14,1.548,Real,2022-04-10 14:00:00
2022-04-10,15,1.069,Real,2022-04-10 15:00:00
2022-04-10,16,1.003,Real,2022-04-10 16:00:00
2022-04-10,17,0.134,Real,2022-04-10 17:00:00
2022-04-10,18,0.17,Real,2022-04-10 18:00:00
2022-04-10,19,0.174,Real,2022-04-10 19:00:00
2022-04-10,20,0.689,Real,2022-04-10 20:00:00
2022-04-10,21,0.152,Real,2022-04-10 21:00:00
2022-04-10,22,0.206,Real,2022-04-10 22:00:00
2022-04-10,23,0.132,Real,2022-04-10 23:00:00
