,datetime,fecha,hora,consumo,met_obtencion,price
3625,2022-01-01 01:00:00,2022-01-01,1,0.104,Real,0.14586000000000002
3626,2022-01-01 02:00:00,2022-01-01,2,0.112,Real,0.1149
3627,2022-01-01 03:00:00,2022-01-01,3,0.1,Real,0.11387
3628,2022-01-01 04:00:00,2022-01-01,4,0.107,Real,0.0978
3629,2022-01-01 05:00:00,2022-01-01,5,0.105,Real,0.0978
3630,2022-01-01 06:00:00,2022-01-01,6,0.11,Real,0.09573999999999999
3631,2022-01-01 07:00:00,2022-01-01,7,0.097,Real,0.0978
3632,2022-01-01 08:00:00,2022-01-01,8,0.113,Real,0.0978
3633,2022-01-01 09:00:00,2022-01-01,9,0.099,Real,0.0978
3634,2022-01-01 10:00:00,2022-01-01,10,0.11,Real,0.07005
3635,2022-01-01 11:00:00,2022-01-01,11,0.102,Real,0.07679000000000001
3636,2022-01-01 12:00:00,2022-01-01,12,0.106,Real,0.0841
3637,2022-01-01 13:00:00,2022-01-01,13,0.104,Real,0.09473999999999999
3638,2022-01-01 14:00:00,2022-01-01,14,0.115,Real,0.0968
3639,2022-01-01 15:00:00,2022-01-01,15,0.103,Real,0.0978
3640,2022-01-01 16:00:00,2022-01-01,16,0.106,Real,0.09852
3641,2022-01-01 17:00:00,2022-01-01,17,0.104,Real,0.1145
3642,2022-01-01 18:00:00,2022-01-01,18,0.114,Real,0.14997
3643,2022-01-01 19:00:00,2022-01-01,19,0.095,Real,0.17722
3644,2022-01-01 20:00:00,2022-01-01,20,0.118,Real,0.18752000000000002
3645,2022-01-01 21:00:00,2022-01-01,21,0.093,Real,0.18925999999999998
3646,2022-01-01 22:00:00,2022-01-01,22,0.105,Real,0.19081
3647,2022-01-01 23:00:00,2022-01-01,23,0.111,Real,0.18838999999999997
3648,2022-01-02 00:00:00,2022-01-01,24,0.103,Real,0.16726
3649,2022-01-02 01:00:00,2022-01-02,1,0.102,Real,0.13321
3650,2022-01-02 02:00:00,2022-01-02,2,0.107,Real,0.11587
3651,2022-01-02 03:00:00,2022-01-02,3,0.102,Real,0.11052
3652,2022-01-02 04:00:00,2022-01-02,4,0.11,Real,0.113
3653,2022-01-02 05:00:00,2022-01-02,5,0.102,Real,0.11587
3654,2022-01-02 06:00:00,2022-01-02,6,0.112,Real,0.11052
3655,2022-01-02 07:00:00,2022-01-02,7,0.101,Real,0.11587
3656,2022-01-02 08:00:00,2022-01-02,8,0.112,Real,0.1296
3657,2022-01-02 09:00:00,2022-01-02,9,0.1,Real,0.11587
3658,2022-01-02 10:00:00,2022-01-02,10,0.107,Real,0.11587
3659,2022-01-02 11:00:00,2022-01-02,11,0.104,Real,0.113
3660,2022-01-02 12:00:00,2022-01-02,12,0.102,Real,0.11587
3661,2022-01-02 13:00:00,2022-01-02,13,0.116,Real,0.11
3662,2022-01-02 14:00:00,2022-01-02,14,0.146,Real,0.11052
3663,2022-01-02 15:00:00,2022-01-02,15,0.127,Real,0.11587
3664,2022-01-02 16:00:00,2022-01-02,16,0.115,Real,0.1098
3665,2022-01-02 17:00:00,2022-01-02,17,0.101,Real,0.11587
3666,2022-01-02 18:00:00,2022-01-02,18,0.118,Real,0.15979
3667,2022-01-02 19:00:00,2022-01-02,19,0.1,Real,0.19425
3668,2022-01-02 20:00:00,2022-01-02,20,0.108,Real,0.198
3669,2022-01-02 21:00:00,2022-01-02,21,0.096,Real,0.20837999999999998
3670,2022-01-02 22:00:00,2022-01-02,22,0.107,Real,0.2091
3671,2022-01-02 23:00:00,2022-01-02,23,0.134,Real,0.19136
3672,2022-01-03 00:00:00,2022-01-02,24,0.306,Real,0.178
3673,2022-01-03 01:00:00,2022-01-03,1,0.243,Real,0.1815
3674,2022-01-03 02:00:00,2022-01-03,2,0.109,Real,0.16072
3675,2022-01-03 03:00:00,2022-01-03,3,0.162,Real,0.15464
3676,2022-01-03 04:00:00,2022-01-03,4,0.096,Real,0.14986000000000002
3677,2022-01-03 05:00:00,2022-01-03,5,0.108,Real,0.14449
3678,2022-01-03 06:00:00,2022-01-03,6,0.093,Real,0.14886000000000002
3679,2022-01-03 07:00:00,2022-01-03,7,0.154,Real,0.15377000000000002
3680,2022-01-03 08:00:00,2022-01-03,8,0.096,Real,0.16072
3681,2022-01-03 09:00:00,2022-01-03,9,0.185,Real,0.18925999999999998
3682,2022-01-03 10:00:00,2022-01-03,10,0.155,Real,0.18353999999999998
3683,2022-01-03 11:00:00,2022-01-03,11,0.306,Real,0.16072
3684,2022-01-03 12:00:00,2022-01-03,12,0.213,Real,0.1522
3685,2022-01-03 13:00:00,2022-01-03,13,0.216,Real,0.14886000000000002
3686,2022-01-03 14:00:00,2022-01-03,14,0.229,Real,0.14204
3687,2022-01-03 15:00:00,2022-01-03,15,0.482,Real,0.12738
3688,2022-01-03 16:00:00,2022-01-03,16,0.23,Real,0.11287
3689,2022-01-03 17:00:00,2022-01-03,17,0.217,Real,0.1268
3690,2022-01-03 18:00:00,2022-01-03,18,0.266,Real,0.14849
3691,2022-01-03 19:00:00,2022-01-03,19,0.257,Real,0.17506
3692,2022-01-03 20:00:00,2022-01-03,20,0.297,Real,0.18
3693,2022-01-03 21:00:00,2022-01-03,21,0.105,Real,0.15377000000000002
3694,2022-01-03 22:00:00,2022-01-03,22,0.099,Real,0.14194
3695,2022-01-03 23:00:00,2022-01-03,23,0.19,Real,0.11411
3696,2022-01-04 00:00:00,2022-01-03,24,1.134,Real,0.10036
3697,2022-01-04 01:00:00,2022-01-04,1,0.141,Real,0.12547
3698,2022-01-04 02:00:00,2022-01-04,2,0.127,Real,0.11555
3699,2022-01-04 03:00:00,2022-01-04,3,0.112,Real,0.11329
3700,2022-01-04 04:00:00,2022-01-04,4,0.11,Real,0.10581
3701,2022-01-04 05:00:00,2022-01-04,5,0.148,Real,0.105
3702,2022-01-04 06:00:00,2022-01-04,6,0.107,Real,0.11511
3703,2022-01-04 07:00:00,2022-01-04,7,0.099,Real,0.15377000000000002
3704,2022-01-04 08:00:00,2022-01-04,8,0.108,Real,0.16103
3705,2022-01-04 09:00:00,2022-01-04,9,0.192,Real,0.17890999999999999
3706,2022-01-04 10:00:00,2022-01-04,10,0.155,Real,0.19
3707,2022-01-04 11:00:00,2022-01-04,11,0.254,Real,0.18988
3708,2022-01-04 12:00:00,2022-01-04,12,0.291,Real,0.18242
3709,2022-01-04 13:00:00,2022-01-04,13,0.217,Real,0.18246
3710,2022-01-04 14:00:00,2022-01-04,14,0.218,Real,0.17959
3711,2022-01-04 15:00:00,2022-01-04,15,0.262,Real,0.16319999999999998
3712,2022-01-04 16:00:00,2022-01-04,16,0.204,Real,0.15730000000000002
3713,2022-01-04 17:00:00,2022-01-04,17,0.247,Real,0.15730000000000002
3714,2022-01-04 18:00:00,2022-01-04,18,0.307,Real,0.16378
3715,2022-01-04 19:00:00,2022-01-04,19,0.181,Real,0.18494
3716,2022-01-04 20:00:00,2022-01-04,20,0.22,Real,0.17899
3717,2022-01-04 21:00:00,2022-01-04,21,0.179,Real,0.15612
3718,2022-01-04 22:00:00,2022-01-04,22,0.206,Real,0.14865
3719,2022-01-04 23:00:00,2022-01-04,23,0.929,Real,0.13792
3720,2022-01-05 00:00:00,2022-01-04,24,1.086,Real,0.11287
3721,2022-01-05 01:00:00,2022-01-05,1,0.655,Real,0.1328
3722,2022-01-05 02:00:00,2022-01-05,2,0.344,Real,0.1067
3723,2022-01-05 03:00:00,2022-01-05,3,0.11,Real,0.0845
3724,2022-01-05 04:00:00,2022-01-05,4,0.153,Real,0.08
3725,2022-01-05 05:00:00,2022-01-05,5,0.096,Real,0.07911
3726,2022-01-05 06:00:00,2022-01-05,6,0.117,Real,0.09479000000000001
3727,2022-01-05 07:00:00,2022-01-05,7,0.091,Real,0.16904
3728,2022-01-05 08:00:00,2022-01-05,8,0.151,Real,0.20607
3729,2022-01-05 09:00:00,2022-01-05,9,0.296,Real,0.21112999999999998
3730,2022-01-05 10:00:00,2022-01-05,10,0.169,Real,0.21386000000000002
3731,2022-01-05 11:00:00,2022-01-05,11,0.226,Real,0.2091
3732,2022-01-05 12:00:00,2022-01-05,12,0.284,Real,0.2028
3733,2022-01-05 13:00:00,2022-01-05,13,0.229,Real,0.19988999999999998
3734,2022-01-05 14:00:00,2022-01-05,14,0.247,Real,0.19734000000000002
3735,2022-01-05 15:00:00,2022-01-05,15,0.252,Real,0.1956
3736,2022-01-05 16:00:00,2022-01-05,16,0.28,Real,0.2
3737,2022-01-05 17:00:00,2022-01-05,17,0.436,Real,0.20607
3738,2022-01-05 18:00:00,2022-01-05,18,0.413,Real,0.21123
3739,2022-01-05 19:00:00,2022-01-05,19,0.381,Real,0.225
3740,2022-01-05 20:00:00,2022-01-05,20,0.155,Real,0.25034
3741,2022-01-05 21:00:00,2022-01-05,21,0.127,Real,0.24193
3742,2022-01-05 22:00:00,2022-01-05,22,0.103,Real,0.21894999999999998
3743,2022-01-05 23:00:00,2022-01-05,23,0.103,Real,0.20746
3744,2022-01-06 00:00:00,2022-01-05,24,0.133,Real,0.2
3745,2022-01-06 01:00:00,2022-01-06,1,0.135,Real,0.20715
3746,2022-01-06 02:00:00,2022-01-06,2,0.459,Real,0.20422
3747,2022-01-06 03:00:00,2022-01-06,3,0.143,Real,0.19182
3748,2022-01-06 04:00:00,2022-01-06,4,0.67,Real,0.1807
3749,2022-01-06 05:00:00,2022-01-06,5,0.122,Real,0.1701
3750,2022-01-06 06:00:00,2022-01-06,6,0.107,Real,0.19438
3751,2022-01-06 07:00:00,2022-01-06,7,0.165,Real,0.20422
3752,2022-01-06 08:00:00,2022-01-06,8,0.133,Real,0.21614
3753,2022-01-06 09:00:00,2022-01-06,9,0.149,Real,0.21941999999999998
3754,2022-01-06 10:00:00,2022-01-06,10,0.185,Real,0.22
3755,2022-01-06 11:00:00,2022-01-06,11,0.097,Real,0.2149
3756,2022-01-06 12:00:00,2022-01-06,12,0.126,Real,0.2079
3757,2022-01-06 13:00:00,2022-01-06,13,0.121,Real,0.205
3758,2022-01-06 14:00:00,2022-01-06,14,0.099,Real,0.20443
3759,2022-01-06 15:00:00,2022-01-06,15,0.094,Real,0.19684000000000001
3760,2022-01-06 16:00:00,2022-01-06,16,0.123,Real,0.18988999999999998
3761,2022-01-06 17:00:00,2022-01-06,17,0.142,Real,0.20217
3762,2022-01-06 18:00:00,2022-01-06,18,0.195,Real,0.22231
3763,2022-01-06 19:00:00,2022-01-06,19,0.092,Real,0.27344
3764,2022-01-06 20:00:00,2022-01-06,20,0.105,Real,0.27836
3765,2022-01-06 21:00:00,2022-01-06,21,0.151,Real,0.25171
3766,2022-01-06 22:00:00,2022-01-06,22,0.091,Real,0.22996
3767,2022-01-06 23:00:00,2022-01-06,23,0.227,Real,0.21644
3768,2022-01-07 00:00:00,2022-01-06,24,0.244,Real,0.21
3769,2022-01-07 01:00:00,2022-01-07,1,0.213,Real,0.21347
3770,2022-01-07 02:00:00,2022-01-07,2,0.141,Real,0.189
3771,2022-01-07 03:00:00,2022-01-07,3,0.124,Real,0.18
3772,2022-01-07 04:00:00,2022-01-07,4,0.104,Real,0.16490000000000002
3773,2022-01-07 05:00:00,2022-01-07,5,0.11,Real,0.1628
3774,2022-01-07 06:00:00,2022-01-07,6,0.139,Real,0.165
3775,2022-01-07 07:00:00,2022-01-07,7,0.1,Real,0.16519999999999999
